Index,Question,A,B,C,D,answer
1,1.Presentation  2.Recommendation  3. Arrival  4.Discussion  5.Introduction,"5, 3, 4, 1, 2","3, 5, 4, 2, 1","3, 5, 1, 4, 2","5, 3, 1, 2, 4",3
2,"4, 18, ?, 100, 180, 294, 448",48,50,58,60,1
3,In a certain code language COMPUTER is written as RFUVQNPC. How will MEDICINE be written in that code language?,MFEDJJOE,EOJDEJFM,MFEJDJOE,EOJDJEFM,4
4,Which letter in this alphabet is the eighth letter to the right of the letter and  which is tenth letter to the left of the last but one letter of the alphabet?,x,w,i,h,2
5,"A is B's sister. C is B's mother. D is C's father. E is D's mother. Then, how is A related to D?",Grandfather,Grandmother,Daughter,Granddaughter,4
6,"How many pairs of letters are there in the word "" CASTRAPHONE"" which have as many letters between them in the word as in the alphabet?",3,4,5,6,4
7,"Find the wrong number in the series. 1, 2, 6, 15, 31, 56, 91",31,15,56,91,4
8,"3, 5, 5, 19, 7, 41, 9, ?",71,61,79,69,1
9,132       156       ?         210          240          272 ,196,182,199,204,2
10,1. Abandon  2. Actuate  3. Accumulate  4. Acquit   5. Achieve (Alphabetically last),Actuate,Accumulate,Acquit,Achieve,1
11,A A B A B C A B C D A B C D E A B C D,A,E,C,B,2
12,"A and B are a married couple, A being the male member. D is the only son of C, who is the brother of A. E is the sister of D. B is the daughter-in-law of F, whose husband has died. How is E related to C ? ",Sister,Daughter,Cousin,Mother,2
13,5  9  3  2  1  7  4  2  6  9  7  4  6  1  3  2  8  7  4  1  3  8  3  2  5  6  7  4  3  9  5  8  2  0  1  8  7  4  6  3 (How many 4's are there preceded by 7 but not followed by 3?),Four,Three,Six,Five,1
14,"In a row of boys, If A who is 10th from the left and B who is 9th from the right interchange their positions, A becomes 15th from the left. How many boys are there in the row ?",23,31,27,28,1
15,"If South-East becomes North, North-East becomes West and so on. What will West become?",North-East,North-West,South-East,South-West,3
16,"Pointing to a person, a man said to a woman, ""His mother is the only daughter of your father."" How was the woman related to the person ? ",Aunt,Mother,Wife,Daughter,1
17,"If Z = 52 and ACT = 48, then BAT will be equal to",39,41,44,46,4
18,"8, 27, 125, 343, 1381 (Find the wrong no)",27,8,343,1381,4
19,Which letter is in the middle of 13th letter from the left and 4th letter from the right?,r,i,j,s,1
20,Cup : Lip :: Bird : ?,Grass,Forest ,Beak,Bush,1
21,A girl introduced a boy as the son of' the daughter of the father of her uncle. The boy is girl's ,Brother,Son,Uncle,Son-in-law,1
22,"If ROSE is coded as 6821, CHAIR is coded as 73456 and PREACH is coded as 961473, what will be the code for SEARCH ?",246173,214673,214763,216473,2
23,Two bus tickets from city A to B and three tickets from city A to C cost Rs. 77 but three tickets from city A to B and two tickets from city A to C cost Rs. 73. What are the fares for cities B and C from A ?,"Rs. 4, Rs. 23","Rs. 13, Rs. 17","Rs. 15, Rs. 14","Rs. 17, Rs. 13",2
24,"There are six persons A. B, C, D, E and F. C is the sister of F. B is the brother of E's husband. D is the father of A and grandfather of F. There are two fathers, three brothers and a mother in the group. Who is the mother ?",A,B,C,E,4
25,"If one is subtracted from each of the numbers, which of the following will be the fourth to the right of the tenth from the right ? (Q 2 3 B 9 V 5 L S R F P)",4,8,2,1,1
26,Rasik walked 20 m towards north. Then he turned right and walks 30 m. Then he turns right and walks 35 m. Then he turns left and walks 15 m. Finally he turns left and walks 15 m. In which direction and how many metres is he from the starting position?,15 m West,30 m East,30 m West,45 m East,4
27,"If the positions of the first and the third alphabets of each of the words are interchanged, which of the following would form a meaningful word in the new arrangement? (LAP  BUT  CAR  SON  HID)",HID,SON,Both LAP and BUT,Both CAR and LAP,3
28,"If FRIEND is coded as HUMJTK, how is CANDLE written in that code ?",EDRIRL,DCQHQK,ESJFME,DEQJQM,1
29,Vaunt : Flaunt :: Disparate : ?,Similar,Homogenous,Contrast,Alike,1
30,If the first half of English alphabet is reversed and the second half of the English alphabet is left undisturbed then which letter will be 10th to the left of 16th letter from the left?,h,f,z,u,1
31,"In a certain code, MONKEY is written as XDJMNL. How is TIGER written in that code ?",SHFDQ,HFDSQ,RSAFD,QDFHS,4
32,"A woman introduces a man as the son of the brother of her mother. How is the man, related to the woman ? ",Nephew,Son,Cousin,Uncle to Grandson,3
33,If the second half of the English alphabet is reversed then which letter will be 4th to the right of 20th letter from the right?,u,k,e,f,2
34,Biped : Quadruped :: Ostrich : ?,Cat,Kangaroo,Penguin,Duck,1
35,"Interchange Signs + and - , numbers 4 and 8.",4 + 8 - 12 = 12,4 - 8 + 12 = 0,8 + 4 - 12 = 24,8 - 4 + 12 = 8,2
36,How many such pairs of digits are there in the number 421579368 each of which has as many digits between them in the number as when they are arranged in ascending order?,None,One,Two,Three,4
37,"Given Sequence : N O P Q Y B Z A R S H I J K L M T U V G F E W X D C NDP ,  QWB ,  ZFR ,  ?",SVI,AFS,IVS,SFA,1
38,Countries which _________ still undergoing the economic processes _________ known as developing countries.,"are, are","are, is","is, are","were, are",1
39,"1, 2, 3, 10, ?, 9802",99,199,299,999,1
40,Which letter is in the middle between the ninth letter from the right and eighth letter from the left in the given alphabets?,n,o,l,m,4
41,"Looking at a portrait of a man, Harsh said, ""His mother is the wife of my father's son. Brothers and sisters I have none."" At whose portrait was Harsh looking? ",His son,His cousin,His uncle,His nephew,1
42,"11, 17, 39, 85, ?",133,143,153,163,3
43,"In a certain code language, '3a, 2b, 7c' means 'Truth is Eternal'; '7c, 9a, 8b, 3a' means 'Enmity is not Eternal'  and '9a, 4d, 2b, 8b' means 'Truth does not perish'. Which of the following means 'enmity' in that language ?",3a,7c,8b,9a,3
44,"If all the A's are dropped from the above arrangement, which of the following will be eleventh from the left end of the above arrangement? (C U B A E D E D A B E B A U C D B C A D B D U B C A C B E D A )",E,C,D,U,4
45,"21, 77, 165, 285, ......",404,415,426,437,4
46,How many times 3 comes in 1 to 100,11,18,20,21,3
47,"Pointing to a lady, a man said, ""The son of her only brother is the brother of my wife."" How is the lady related to the man ?",Mother's sister,Grandmother,Mother-in-law,Sister of father-in-law,4
48,How many pairs of letters in the word 'CHAIRS' have as many letters between them in the word as in the alphabet? ,2,3,1,4,1
49,Grass : Erosion :: Dam : ?,Water,Freeze,Current,Rain,1
50,P is the brother of Q and R. S is R's mother. T is P's father. Which of the following statements cannot be definitely true ? ,T is Q's father,S is P's mother,P is S's son,Q is T's son,4
51,Paw : Cat :: Hoof : ?,Donkey,Lion,Elephant,Horse,4
