Index,Question,A,B,C,D,answer
1,"In ""Sholay"", what was the name of Basanti's horse?",Asha,Dhano,Jay,Leela,2
2,"What was the name of the alien in ""Koi Mil Gaya""?",Roy,E.T.,Jadoo,Baloo,3
3,"What was the name of the lead 'bad-guy' in ""Dhoom""?",Jay,Kabir,Rohit,Anthony,2
4,"What was Ramprasad Sharma's military rank in the movie ""Main hoon Na""?",Captain,Lieutenant,General,Major,4
5,"What kind of movie was ""Hungama""?",Comedy,Mystery,Romance,Horror,1
6,"The movie, ""Bhagam Bhag"", was mainly based in which of the following cities?",New York,Sydney,Bombay,London,4
7,"Who was the antagonist in the movie ""Lagaan""?",Rajah Pooran Singh,Elizabeth,Bhuvan,Captain Andrew Russell,4
8,"In the 1964 Dosti, what is the name of the blind character?",Mohan,Dinu,Ramu,Shyam,1
9,Mother India lost to which film when it was nominated in the Best Foreign Film category?,Casablanca,Nights of Cabiria,Gone With The Wind,Dragons,2
10,Which was Subhash Ghai's first film as a director?,Karma,Kalicharan,Vidhaata,Hero,2
11,Select the film which was Ashutosh Gowariker's directorial debut.,Lagaan,Swades,Pehla Nasha,Jung,3
12,Name the first Hindi Movie that received the national award. ,Kabuliwala,Do Aankhen Barah Haath,Mirza Ghalib,Anuradha,3
13,"Before Akshay Kumar became an actor, he worked as a:",Clerk,Reporter,Waiter,Journalist,3
14,In which year did Amitabh Bachchan debut in Hindi cinema?,1965,1968,1969,1972,4
15,Which of these actors had never appeared in television advertisements until 2015?,Govinda,Hrithik Roshan,Shah rukh khan,Anil Kapoor,4
16,In which year was Aishwarya Rai crowned Miss World?,1993,1994,1995,1996,2
17,Tabu's real name is:,Shakeela Merchant,Taslim Khan,Tabakul,Tabassum Fatima Hashmi,4
18,The story of Kabhi Khushi Kabhie Gham revolves around the trials and tribulations of which family?,The Malhotras,The Singhanias,The Oberois,The Raichands,4
19,"In the movie Piku, what does Amitabh Bachchan's character (Bhashkor Banerjee) suffer from?",Erectile Dysfunction,Chronic Constipation,Cancer,Arthritis,2
20,"In Hera Pheri, what was Paresh Rawal's character called?",Baburao Ganpatrao Apte,Raju,Shyam,Devi Prasad,1
21,"In Dear Zindagi, what does Shah Rukh Khan's character, Dr Jehangir Khan, do?",He is a therapist,He is an actor,He is an architect,He is a journalist,1
22,"""Dosti ka ek usool hai madam - no sorry, no thank you.? (In which movie this line is said)",Maine Pyar Kiya,Kuch Kuch Hota Hai,Dilwale Dulhania Le Jayenge,Andaz Apna Apna,1
23,"In the movie Kahaani, which Indian city does Vidya Bagchi visit in order to search for her missing husband?",Agra,Mumbai,Kolkata,Chennai,3
24,"Finish the quote from Om Shanti Om: ""Ek chutki sindoor ki keemat, tum kya jaano _____?""",Ramesh Babu,Om Babu,Mahesh Babu,Naalayak,1
25,"In Jab We Met, what is the name of Geet's cousin?",Roop,Simran,Preet,Priya,3
26,'Main Hoon Na' was the directorial debut for which filmmaker?,Farah Khan,Sajid Khan,Zoya Akhtar,None,1
27,What role does Amitabh Bachchan play in 'Aarakshan'?,School owner,College principal,Maths teacher,Security Guard,2
28,In which film did Sanjay Dutt and Sunil Dutt appear on-screen together?,Reshma Aur Shera,Kshatriya,Munnabhai MBBS,Hera pheri,3
29,"'Parichay', starring yesteryear actors Jeetendra and Jaya Bhaduri, was directed by which revered artiste?",Gulzar,Ramesh Sippi,Yash Chopra,Zoya Akhtar,1
30,"In the song, 'Aao Bachchon tumhe dikhayein jhankee Hindustan kee'..., Abhi Bhattacharya, the teacher, takes the students on a tour of the country. Name the movie.",Chaman,Jagriti,Do Ankhen Barah Haath,Sholay,2
31,'Black' by Sanjay Leela Bhansali is inspired from this Oscar-winning 1962 Hollywood flick. Name the movie.,The Story of My Life,Alice's Restaurant,Miracle Worker,None,3
32,Aamir Khan's 'Taare Zameen Par' tells the story of a dyslexic child trying to fit into a mainstream education system. The story is inspired by the biography of which famous Japanese filmmaker?,Akira Kurosawa,Yasujir? Ozu,Takeshi Kitano,None,1
33,"In 'Mohabbatein', which famous actor plays the love interest of Shah Rukh Khan?",Aishwarya Rai Bachchan,Rani Mukherjee,Kajol,Tabu,1
34,He wrote the book that served as the inspiration for Rani Mukherjee's 'Hichki'. Who is he?,David Allen,Brad Cohen,Gary Chapman,Mike Tylor,2
35,"Which movie is this from ""Deewano ki baatein sirf deewane samajhte hai""",1920 Evil Returns,1920,Raaz,Bhoot Bangla,1
36,"Which Movie is this from: ""We dance to express ... not to impress""",Devdas,Dishoom,Dance Dance,Anybody Can Dance 2,4
37,"Which movie is this from: ""Dare hue log aksar alfazon ke peeche chupte hai""",Aye Dil Hai Mushkil,Phir Bhi Dil Hai Hindustani,Dilwale,Muskaan,1
38,"Which movie is this quote from ""Poore duniya mein sabse kamzor dil ek Indian baap ka hota hai""",Mere Baap Pehle Aap,Sholay,Dishoom,Badrinath Ki Dulhaniya,4
39,"Which movie is this quote from ""Kayi baar kismat badalne ke liye khudko badalna padta hai",A Gentlement,Student of the Year,Hasee Toh Phasee,Dilwale Dulhaniya Le Jaayenge,1
40,What was Katrina Kaifs name in Dhoom 3?,Aaliya,Natasha,Simran,Kratika,1
41,What was Akshay Kumar's first name in Tees Maar Khan?,Tabrez,Rocco,Rahul,Aarav,1
42,Which actresses is in the movie Slumdog Millionaire?,Rehan Wood,Katrina Kaif,Freida Pinto,Molly Scott,3
43,Which actor and actresses are in the movie Chalte Chalte?,Rani & Sharukh,Sharukh & Kajol,Rani & Sahid,Katrina & Saif,1
44,Which film production made the movie Dil Bole Haddippa?,Karan Johar,Farah Khan,Anurag Singh,Yash Chopra,3
45,Which is the movie of Manisha Koirala and Aamir Khan?,Raaz,Om Shanti Om,Run,Mann,4
46,What is Rani Mukherjee's name in Kuch Kuch Hota Hai?,Tina,Mina,Anjali,Sonali,1
47,What is Shah Rukh's mantra to woo a girl in Kal Ho Naa Ho?,Saat din ladki in,Ek din ladki in,Che din ladki in,Do din ladki in,3
48,"Who, apart from Aamir Khan, wants to marry Preity Zinta in Dil Chahta Hai?",Akshaye Khanna,Saif Ali Khan,Ayub Khan,Shah Rukh Khan,3
49,What are John Abraham and Akshay Kumar's professions in Garam Masala?,Photographers,Reporters,Male Escorts,Cricketers,1
50,For which of these films did Anil Kapoor shave off his moustache?,Jhoot Bole Kawaa Kaate,Mr India,Lamhe,Welcome,3
51,Which of these films was Ashutosh Gowariker's directorial debut?,Pehla Nashaa,Lagaan,Swades,Kabhi Khushi Kabhi Gham,1
52,From where does Veeru proposes to Basanti in the movie Sholay?,Top of a roof,Top of water tank,Top of a building,Top of a Ladder,2
53,I am known as the King of Romance.... Who am I?,Hrithik Roshan,Shah Rukh Khan,Saif Ali Khan,Arjun Kapoor,2
54,This was the first Indian film to be released commercially in Italy.,An Evening In Paris,Mother India,Neelkamal,Ankhen,4
55,"Make a connection about Nutan, Sridevi, Shabana Azmi, Rani Mukherjee and Vidya Balan with Filmfare",They all have won Best Actress two times,They all were part of a film that won most of the awards the same ye,They all won when Amitabh Bachchan won Best Actor,They all were directed by A R Murugadoss,3
56,"Initially titled as High Jump, this movie is inspired by the biography of Japanese filmmaker Akiro Kurosawa. Which movie is it?",Wake Up Sid,Taare Zameen Par,Luck By Chance,Dhobi Ghat,2
57,Which of these films was Hema Malini's directorial debut?,Jugnu,Lal Patthar,Sholay,Dil Aashna Hai,4
58,The filmmaker who directed the Rajesh Khanna-Tina Munim starrer 'Souten'?,Prakash Mehra,Shyam Benegal,Saawan Kumar Tak,Shakti Samanta,3
59,The first silent Hindi Film?,Raja Harishchandra,Bhakta Vidur,Rani Saheba,Netaji Palkar,1
60,"In this Abhishek Kapoor movie, Tabu donned the role of a begum. This movie is adapted from famous literary work named?",Hamlet,Great Expectations,In Search Of Lost Time,Crime and Punishment,2
61,The year in which Amitabh Bachchan starrer 'Sharaabi' released?,1985,1984,1987,1980,2
62,Which was the first film in which Amitabh and Jaya Bachchan worked together?,Guddi,Mili,Ek Nazar,Abhimaan,1
63,Aamir Khan signed 'Awwal Number' even without reading the script. Name the director of the film.,Shyam Benegal,Dev Anand,Dibakar Banerjee,Sriram Raghavan,2
64,First Indian film with sound?,Alam Ara,Kisan Kanya,Keechaka Vadham,Kalidas,1
65,"As per reports, Kishore Kumar made this movie to evade taxes, hoping that it would fail at the box office, but it became a big hit. Which movie was it?",Chalti Ka Naam Gaadi,Padosan,Half Ticket,Door Gagan Ki Chhaon Mein,1
66,The male voice in the song Mehbooba in 'Sholay' was of...?,R D Burman,Divender,Bhupinder,Shailendra,1
67,"Erich Segal's novel 'Man, Woman and Child' was adapted as a Bollywood movie. The movie was released in the 80s. Which movie was it?",Saagar,Jaane Bhi Do Yaaron,Saaransh,Masoom,4
68,Who was the first Indian to win an Oscar?,Bhanu Athaiya,Satyajit Ray,Bimal Roy,A.R. Rahman,1
69,"This satiric film was based on Indira Gandhi and her son Sanjay, which was banned by the Government during the Emergency. Which film was it?",Kissa Kursi Ka,Ekdin Pratidin,Aandhi,New Delhi Times,1
